onset	duration	valence	arousal	flubber_frequency	flubber_amplitude
506001.1799291161	n/a				1.0
506001.1910161836	n/a				1.0
506001.2020627525	n/a				1.0
506001.2131721191	n/a				1.0
506001.2243170843	n/a				1.0
506001.23551394744	n/a				1.0
506001.24650451867	n/a				1.0
506001.25764578395	n/a				1.0
506001.26875945035	n/a				1.0
506001.2798130191	n/a				1.0
506001.29098858306	n/a				1.0
506001.30203525204	n/a				1.0
506001.31338500924	n/a				1.0
506001.3243324821	n/a				1.0
506001.3352879547	n/a				1.0
506001.34662601235	n/a				1.0
506001.3575556859	n/a				1.0
506001.36872335017	n/a				1.0
506001.3798893145	n/a				1.0
506001.3908753859	n/a				1.0
506001.40202885075	n/a				1.0
506001.41330521076	n/a				1.0
506001.4244317767	n/a				1.0
506001.435289653	n/a				1.0
506001.44642391865	n/a				1.0
506001.4574810872	n/a				1.0
506001.46865675115	n/a				1.0
506001.47979791655	n/a				1.0
506001.4911020755	n/a				1.0
506001.5018665555	n/a				1.0
506001.51307451824	n/a				1.0
506001.52418798464	n/a				1.0
506001.53521835426	n/a				1.0
506001.5465387126	n/a				1.0
506001.55748638546	n/a				1.0
506001.5686243509	n/a				1.0
506001.57975251676	n/a				1.0
506001.59095737955	n/a				1.0
506001.6019695499	n/a				1.0
506001.61306921684	n/a				1.0
506001.62428177934	n/a				1.0
506001.6352076531	n/a				1.0
506001.64630212024	n/a				1.0
506001.65751528274	n/a				1.0
506001.6684970543	n/a				1.0
506001.67973131593	n/a				1.0
506001.69090547995	n/a				1.0
506001.70180325484	n/a				1.0
506001.71300191793	n/a				1.0
506001.72419118136	n/a				1.0
506001.7351781527	n/a				1.0
506001.7463059185	n/a				1.0
506001.7574366843	n/a				1.0
506001.7687013447	n/a				1.0
506001.77968991606	n/a				1.0
506001.79291949986	n/a				1.0
506001.8018942497	n/a				1.0
506001.8123308425	n/a				1.0
506001.82345300855	n/a				1.0
506001.834488978	n/a				1.0
506001.84571703995	n/a				1.0
506001.85688040435	n/a				1.0
506001.867807878	n/a				1.0
506001.87908703793	n/a				1.0
506001.8900931086	n/a				1.0
506001.9011331778	n/a				1.0
506001.91232554114	n/a				1.0
506001.92339980905	n/a				1.0
506001.9344106795	n/a				1.0
506001.9455837435	n/a				1.0
506001.95693020086	n/a				1.0
506001.967895173	n/a				1.0
506001.9790146392	n/a				1.0
506001.99011650606	n/a				1.0
506002.0011445758	n/a				1.0
506002.01214454666	n/a				1.0
506002.0233265104	n/a				1.0
506002.03445947595	n/a				1.0
506002.04557874217	n/a				1.0
506002.05656311364	n/a				1.0
506002.067804275	n/a				1.0
506002.0790190375	n/a				1.0
506002.08994111134	n/a				1.0
506002.1011378745	n/a				1.0
506002.11209574697	n/a				1.0
506002.1233587075	n/a				1.0
506002.1343003806	n/a				1.0
506002.1454325463	n/a				1.0
506002.15677460376	n/a				1.0
506002.16802346485	n/a				1.0
506002.1791659302	n/a				1.0
506002.19037239294	n/a				1.0
506002.2015506568	n/a				1.0
506002.2127924182	n/a				1.0
506002.2239522828	n/a				1.0
506002.23494505393	n/a				1.0
506002.24609271897	n/a				1.0
506002.257139088	n/a				1.0
506002.26829195285	n/a				1.0
506002.27953961404	n/a				1.0
506002.29061778175	n/a				1.0
506002.30152515625	n/a				1.0
506002.3126911206	n/a				1.0
506002.3238728843	n/a				1.0
506002.3349208533	n/a				1.0
506002.3460568188	n/a				1.0
506002.35732587916	n/a				1.0
506002.3681945551	n/a				1.0
506002.3794289167	n/a				1.0
506002.3905086845	n/a				1.0
506002.4014970558	n/a				1.0
506002.4126818194	n/a				1.0
506002.42375398736	n/a				1.0
506002.43489435274	n/a				1.0
506002.44601811876	n/a				1.0
506002.4575380693	n/a				1.0
506002.4681227563	n/a				1.0
506002.4794292152	n/a				1.0
506002.49044788524	n/a				1.0
506002.50153275277	n/a				1.0
506002.5126496191	n/a				1.0
506002.52369908796	n/a				1.0
506002.5347653562	n/a				1.0
506002.54591782106	n/a				1.0
506002.5570261877	n/a				1.0
506002.56819115207	n/a				1.0
506002.5793657161	n/a				1.0
506002.59054228	n/a				1.0
506002.60147305357	n/a				1.0
506002.61253202206	n/a				1.0
506002.6237268853	n/a				1.0
506002.6347905536	n/a				1.0
506002.64594501845	n/a				1.0
506002.6570761842	n/a				1.0
506002.6681995502	n/a				1.0
506002.6792892175	n/a				1.0
506002.69047038123	n/a				1.0
506002.7014201541	n/a				1.0
506002.7125513198	n/a				1.0
506002.7235966888	n/a				1.0
506002.7346719567	n/a				1.0
506002.7458446208	n/a				1.0
506002.75694298773	n/a				1.0
506002.7681152519	n/a				1.0
506002.77921131894	n/a				1.0
506002.7902680876	n/a				1.0
506002.80144875136	n/a				1.0
506002.8127265114	n/a				1.0
506002.8238728764	n/a				1.0
506002.83481054974	n/a				1.0
506002.84577272204	n/a				1.0
506002.85687628883	n/a				1.0
506002.86800705455	n/a				1.0
506002.87915191974	n/a				1.0
506002.8903497828	n/a				1.0
506002.90127085673	n/a				1.0
506002.9124070222	n/a				1.0
506002.92374297994	n/a				1.0
506002.93465435423	n/a				1.0
506002.9457419216	n/a				1.0
506002.9568780872	n/a				1.0
506002.9679880537	n/a				1.0
506002.97914141853	n/a				1.0
506002.9902634846	n/a				1.0
506003.0013988501	n/a				1.0
506003.0124400194	n/a				1.0
506003.02357818483	n/a				1.0
506003.0346858515	n/a				1.0
506003.04563672416	n/a				1.0
506003.05680898833	n/a				1.0
506003.06789045595	n/a				1.0
506003.0791445169	n/a				1.0
506003.0901462876	n/a				1.0
506003.10115725803	n/a				1.0
506003.112305223	n/a				1.0
506003.1234701875	n/a				1.0
506003.13463515183	n/a				1.0
506003.14576661756	n/a				1.0
506003.1567907874	n/a				1.0
506003.16800095	n/a				1.0
506003.17904731905	n/a				1.0
506003.1901550857	n/a				1.0
